cfg,phase,xi,scale,sigma,resp_rms,err
142,anti,5.0,4.0,8e-06,1.2780956571532566e-07,0.0009802825829617555
142,anti,10.0,1.0,2e-06,2.151131655708274e-08,0.0017598614395602243
142,anti,10.0,4.0,8e-06,8.604526622833097e-08,0.007039407217280345
142,anti,20.0,1.0,2e-06,1.4401277687399308e-08,0.0037143725613511275
142,anti,20.0,4.0,8e-06,5.760511074959723e-08,0.014857478417095348
142,anti,50.0,1.0,2e-06,7.146800314498805e-09,0.0036450584530438425
142,anti,50.0,4.0,8e-06,2.858720125799522e-08,0.014580091136101338
142,anti,,1.0,2e-06,1.0440358767272948e-10,1.0709303620993842
142,anti,,4.0,8e-06,4.176143506909179e-10,4.283708762911342
170,anti,0.0,1.0,2e-06,4.2276446181487164e-09,2.3853127137205145e-05
170,anti,0.0,4.0,8e-06,1.6910578472594866e-08,9.53200758138349e-05
170,anti,1.0,1.0,2e-06,4.074563872961599e-09,5.3164842457596774e-05
170,anti,1.0,4.0,8e-06,1.6298255491846396e-08,0.00021262153513459023
170,anti,2.0,1.0,2e-06,3.267615184567272e-09,6.542071437697693e-05
170,anti,2.0,4.0,8e-06,1.3070460738269088e-08,0.00026186027877164096
170,anti,5.0,1.0,2e-06,2.5001025985667136e-09,0.000425154857764081
170,anti,5.0,4.0,8e-06,1.0000410394266855e-08,0.0017005102904962893
170,anti,10.0,1.0,2e-06,1.4388873492197106e-09,0.0007431681136439406
170,anti,10.0,4.0,8e-06,5.755549396878842e-09,0.0029727907128910998
170,anti,20.0,1.0,2e-06,1.028410746315047e-09,0.001114062669325345
170,anti,20.0,4.0,8e-06,4.113642985260188e-09,0.004456792467628783
170,anti,50.0,1.0,2e-06,5.725253625568984e-10,0.005135770988638298
170,anti,50.0,4.0,8e-06,2.2901014502275936e-09,0.02054468652736298
170,anti,,1.0,2e-06,8.11650888024641e-12,0.8201540257982275
170,anti,,4.0,8e-06,3.246603552098564e-11,3.280640128111376
200,anti,0.0,1.0,2e-06,3.5418976206745886e-08,1.2269007173154513e-05
200,anti,0.0,4.0,8e-06,1.4167590482698355e-07,4.9116107050055766e-05
200,anti,1.0,1.0,2e-06,2.477064285739455e-08,1.9570513619475202e-05
200,anti,1.0,4.0,8e-06,9.90825714295782e-08,7.83204834579778e-05
200,anti,2.0,1.0,2e-06,1.8017930966782823e-08,6.668438851904615e-05
200,anti,2.0,4.0,8e-06,7.207172386713129e-08,0.00026679557528777115
200,anti,5.0,1.0,2e-06,6.55870339333842e-09,0.00035706755483440886
200,anti,5.0,4.0,8e-06,2.623481357335368e-08,0.0014285086319288682
200,anti,10.0,1.0,2e-06,5.723237523603458e-09,0.0004828891062593083
200,anti,10.0,4.0,8e-06,2.2892950094413832e-08,0.0019317470986016175
200,anti,20.0,1.0,2e-06,4.2169756793424806e-09,0.001856040314829164
200,anti,20.0,4.0,8e-06,1.6867902717369922e-08,0.007424255207690223
200,anti,50.0,1.0,2e-06,3.528200451635e-09,0.001975335254810887
200,anti,50.0,4.0,8e-06,1.411280180654e-08,0.00790169493155145
200,anti,,1.0,2e-06,1.7686768022736164e-12,6.8776700289090495
200,anti,,4.0,8e-06,7.074707209094466e-12,27.511209763155044
