cfg,phase,xi,scale,sigma,resp_rms,err
114,anti,2.0,1.0,2e-06,3.4132746868171295e-10,4.951850313210567e-05
114,anti,2.0,4.0,8e-06,1.3653098747268518e-09,0.00019625569058063082
114,anti,5.0,1.0,2e-06,1.984783027492338e-10,0.0004744732059721248
114,anti,5.0,4.0,8e-06,7.939132109969352e-10,0.0018959960853933997
114,anti,10.0,1.0,2e-06,1.7934607448183734e-10,0.0007985924255921594
114,anti,10.0,4.0,8e-06,7.173842979273493e-10,0.0031916209619049273
114,anti,20.0,1.0,2e-06,1.249613274533501e-10,0.0023645903323617624
114,anti,20.0,4.0,8e-06,4.998453098134004e-10,0.00945514885462398
114,anti,50.0,1.0,2e-06,7.133288592486366e-11,0.0020586594961857405
114,anti,50.0,4.0,8e-06,2.853315436994546e-10,0.008225939633060128
114,anti,,1.0,2e-06,7.595383969506627e-13,0.3978787021258647
114,anti,,4.0,8e-06,3.0381535878026508e-12,1.5910546093520168
143,anti,0.0,1.0,2e-06,5.034403775519629e-10,1.686404634364887e-05
143,anti,0.0,4.0,8e-06,2.0137615102078517e-09,6.727231970856225e-05
143,anti,1.0,1.0,2e-06,3.783162410685545e-10,1.4643057720391789e-05
143,anti,1.0,4.0,8e-06,1.513264964274218e-09,5.921738075488803e-05
143,anti,2.0,1.0,2e-06,2.4437270014682496e-10,3.529004633045583e-05
143,anti,2.0,4.0,8e-06,9.774908005872998e-10,0.00014156863791596016
143,anti,5.0,1.0,2e-06,1.8624475240412692e-10,0.00029522323722112615
143,anti,5.0,4.0,8e-06,7.449790096165077e-10,0.0011803413864384842
143,anti,10.0,1.0,2e-06,1.2963293529281758e-10,0.0008442974474552593
143,anti,10.0,4.0,8e-06,5.185317411712703e-10,0.0033785559822556667
143,anti,20.0,1.0,2e-06,8.263397359763306e-11,0.001057542251967544
143,anti,20.0,4.0,8e-06,3.3053589439053223e-10,0.00423068303072144
143,anti,50.0,1.0,2e-06,4.9770699012189317e-11,0.0038177206331271056
143,anti,50.0,4.0,8e-06,1.9908279604875727e-10,0.015269766772469348
143,anti,,1.0,2e-06,1.209312557866519e-13,1.8642444758301882
143,anti,,4.0,8e-06,4.837250231466076e-13,7.458444651898954
171,anti,0.0,1.0,2e-06,1.776791364554622e-11,1.4531412143330388e-05
171,anti,0.0,4.0,8e-06,7.107165458218488e-11,3.7458601155266144e-05
171,anti,1.0,1.0,2e-06,1.2277403608174143e-11,2.6862538747596785e-05
171,anti,1.0,4.0,8e-06,4.910961443269657e-11,6.312419171660238e-05
171,anti,2.0,1.0,2e-06,8.511448305940395e-12,0.000126806915509881
171,anti,2.0,4.0,8e-06,3.404579322376158e-11,0.00044090421161611324
171,anti,5.0,1.0,2e-06,6.448311671518824e-12,0.00019011416241200392
171,anti,5.0,4.0,8e-06,2.5793246686075296e-11,0.0007055961654557528
171,anti,10.0,1.0,2e-06,2.2932248857618263e-12,0.0018402797027355269
171,anti,10.0,4.0,8e-06,9.172899543047305e-12,0.007210725909861754
171,anti,20.0,1.0,2e-06,2.4214076682792e-12,0.0038057377548188585
171,anti,20.0,4.0,8e-06,9.6856306731168e-12,0.015013111249969444
171,anti,50.0,1.0,2e-06,2.0546984730446242e-12,0.003265923036892542
171,anti,50.0,4.0,8e-06,8.218793892178497e-12,0.012850578247454754
171,anti,,1.0,2e-06,1.5310718894555932e-14,0.8202885820545528
171,anti,,4.0,8e-06,6.124287557822373e-14,3.2624774571231088
200,anti,0.0,1.0,2e-06,3.4360940640518937e-11,2.045440123943965e-05
200,anti,0.0,4.0,8e-06,1.3744376256207575e-10,8.342129412128233e-05
200,anti,1.0,1.0,2e-06,3.093289003934969e-11,2.9183018888646132e-05
